,precision,recall,f1,support
daucus-carota,0.7655860349127181,0.7206572769953051,0.7424425634824667,426.0
cirsium-oleraceum,0.8905109489051095,0.9242424242424242,0.9070631970260222,132.0
lychnis-flos-cuculi,0.9099099099099099,0.8859649122807017,0.8977777777777779,114.0
knautia-arvensis,0.9403973509933775,0.9281045751633987,0.9342105263157895,153.0
armeria-maritima,0.9221556886227545,0.9565217391304348,0.9390243902439025,161.0
centaurea-jacea,0.8904109589041096,0.9629629629629629,0.9252669039145908,135.0
